TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,404,360,winlogon.exe,0xfa80031c19d0,3,110,1,False,2023-03-27 15:19:21.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\winlogon.exe,winlogon.exe,C:\\Windows\\system32\\winlogon.exe
0,1928,1868,explorer.exe,0xfa800386d5c0,37,1026,1,False,2023-03-27 15:19:51.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\explorer.exe,C:\\Windows\\Explorer.EXE,C:\\Windows\\Explorer.EXE
1,2200,1928,cmd.exe,0xfa8003c60b30,1,22,1,False,2023-03-27 15:32:51.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\cmd.exe,"""C:\\Windows\\System32\\cmd.exe"" ",C:\\Windows\\System32\\cmd.exe
2,1744,2200,winpmem_mini_x,0xfa80045656f0,1,22,1,False,2023-03-27 15:34:17.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Users\\Win7\\Desktop\\winpmem\\winpmem_mini_x64_rc2.exe,winpmem_mini_x64_rc2.exe  NoVirus.raw,C:\\Users\\Win7\\Desktop\\winpmem\\winpmem_mini_x64_rc2.exe
0,2440,2944,GoogleCrashHan,0xfa8001b5fb30,5,103,0,True,2023-03-27 15:22:31.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Google\\Update\\1.3.36.152\\GoogleCrashHandler.exe,-,-
0,2448,2944,GoogleCrashHan,0xfa8001de2060,5,92,0,False,2023-03-27 15:22:31.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Google\\Update\\1.3.36.152\\GoogleCrashHandler64.exe,"""C:\\Program Files (x86)\\Google\\Update\\1.3.36.152\\GoogleCrashHandler64.exe""",C:\\Program Files (x86)\\Google\\Update\\1.3.36.152\\GoogleCrashHandler64.exe
0,2588,996,chrome.exe,0xfa80019c8920,32,1059,1,False,2023-03-27 15:22:31.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Google\\Chrome\\Application\\chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --from-installer",C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe
1,1376,2588,chrome.exe,0xfa80039364a0,15,240,1,False,2023-03-27 15:26:19.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Google\\Chrome\\Application\\chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=renderer --disable-gpu-compositing --lang=en-GB --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=49 --time-ticks-at-unix-epoch=-1679930273703297 --launch-time-ticks=503900355 --mojo-platform-channel-handle=4932 --field-trial-handle=1292,i,3536617241012723897,15781738060763921657,131072 /prefetch:1",C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe
1,2596,2588,chrome.exe,0xfa80019f49e0,8,95,1,False,2023-03-27 15:22:31.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Google\\Chrome\\Application\\chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=crashpad-handler ""--user-data-dir=C:\\Users\\Win7\\AppData\\Local\\Google\\Chrome\\User Data"" /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\\Users\\Win7\\AppData\\Local\\Google\\Chrome\\User Data\\Crashpad"" ""--metrics-dir=C:\\Users\\Win7\\AppData\\Local\\Google\\Chrome\\User Data"" --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=Win64 --annotation=prod=Chrome --annotation=ver=109.0.5414.120 --initial-client-data=0x9c,0xa0,0xa4,0x70,0xa8,0x7fef3666b58,0x7fef3666b68,0x7fef3666b78",C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe
1,2456,2588,chrome.exe,0xfa8001ea7330,15,213,1,False,2023-03-27 15:24:21.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Google\\Chrome\\Application\\chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=renderer --disable-gpu-compositing --lang=en-GB --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=38 --time-ticks-at-unix-epoch=-1679930273703297 --launch-time-ticks=386881823 --mojo-platform-channel-handle=4640 --field-trial-handle=1292,i,3536617241012723897,15781738060763921657,131072 /prefetch:1",C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe
1,2876,2588,chrome.exe,0xfa8001b93b30,16,218,1,False,2023-03-27 15:22:32.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Google\\Chrome\\Application\\chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=none --mojo-platform-channel-handle=1368 --field-trial-handle=1292,i,3536617241012723897,15781738060763921657,131072 /prefetch:8",C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe
1,840,2588,chrome.exe,0xfa8001faf130,16,275,1,False,2023-03-27 15:23:01.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Google\\Chrome\\Application\\chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=renderer --disable-gpu-compositing --lang=en-GB --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=17 --time-ticks-at-unix-epoch=-1679930273703297 --launch-time-ticks=307518540 --mojo-platform-channel-handle=5012 --field-trial-handle=1292,i,3536617241012723897,15781738060763921657,131072 /prefetch:1",C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe
1,3100,2588,chrome.exe,0xfa800397fb30,17,438,1,False,2023-03-27 15:24:26.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Google\\Chrome\\Application\\chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=renderer --disable-gpu-compositing --lang=en-GB --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=40 --time-ticks-at-unix-epoch=-1679930273703297 --launch-time-ticks=391922871 --mojo-platform-channel-handle=1000 --field-trial-handle=1292,i,3536617241012723897,15781738060763921657,131072 /prefetch:1",C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe
1,2332,2588,chrome.exe,0xfa80020846a0,8,151,1,False,2023-03-27 15:22:32.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Google\\Chrome\\Application\\chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=service --mojo-platform-channel-handle=1468 --field-trial-handle=1292,i,3536617241012723897,15781738060763921657,131072 /prefetch:8",C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe
1,2936,2588,chrome.exe,0xfa8001baa060,11,172,1,False,2023-03-27 15:23:01.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Google\\Chrome\\Application\\chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-GB --service-sandbox-type=audio --mojo-platform-channel-handle=5168 --field-trial-handle=1292,i,3536617241012723897,15781738060763921657,131072 /prefetch:8",C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe
1,2972,2588,chrome.exe,0xfa80036ebaa0,12,198,1,False,2023-03-27 15:22:34.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Google\\Chrome\\Application\\chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=gpu-process --gpu-preferences=UAAAAAAAAADgAAAYAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAEgAAAAAAAAASAAAAAAAAAAYAAAAAgAAABAAAAAAAAAAGAAAAAAAAAAQAAAAAAAAAAAAAAAOAAAAEAAAAAAAAAABAAAADgAAAAgAAAAAAAAACAAAAAAAAAA= --use-gl=angle --use-angle=swiftshader-webgl --mojo-platform-channel-handle=3496 --field-trial-handle=1292,i,3536617241012723897,15781738060763921657,131072 /prefetch:2",C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe
0,3972,3324,rundll32.exe,0xfa8003ab5060,5,113,1,False,2023-03-27 15:32:51.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\rundll32.exe,"""C:\\Windows\\system32\\RunDll32.exe"" ""C:\\Windows\\system32\\WerConCpl.dll"", LaunchErcApp -queuereporting",C:\\Windows\\system32\\RunDll32.exe

