TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,2588,SearchIndexer.,0xa76b94c8,0x678,Key,0xf003f,MACHINE\\SOFTWARE\\MICROSOFT\\WINDOWS SEARCH\\GATHER\\WINDOWS\\SYSTEMINDEX\\SITES\\{S-1-5-21-2150415697-633925282-3831303979-1001}\\PATHS
0,2588,SearchIndexer.,0xaba3cfd0,0x67c,Key,0xf003f,MACHINE\\SOFTWARE\\MICROSOFT\\WINDOWS SEARCH\\GATHER\\WINDOWS\\SYSTEMINDEX\\STARTPAGES\\4
0,2588,SearchIndexer.,0x86240438,0x680,Event,0x1f0003,-
0,2588,SearchIndexer.,0xaba1eed0,0x684,Key,0xf003f,MACHINE\\SOFTWARE\\MICROSOFT\\WINDOWS SEARCH\\GATHER\\WINDOWS\\SYSTEMINDEX\\SITES\\{S-1-5-21-2150415697-633925282-3831303979-1001}\\PATHS\\2
0,2588,SearchIndexer.,0x86b4e858,0x68c,Event,0x1f0003,-
0,2588,SearchIndexer.,0x868d6f60,0x690,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86b5d220,0x694,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86914ad0,0x698,Event,0x1f0003,-
0,2588,SearchIndexer.,0x8658cc58,0x69c,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86914a90,0x6a0,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86814ef0,0x6a4,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86815d08,0x6a8,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86815cc8,0x6ac,Event,0x1f0003,-
0,2588,SearchIndexer.,0xa604b498,0x6b0,Key,0xf003f,MACHINE\\SOFTWARE\\MICROSOFT\\WINDOWS SEARCH\\GATHER\\WINDOWS\\SYSTEMINDEX\\STARTPAGES
0,2588,SearchIndexer.,0x86824948,0x6b4,Event,0x1f0003,-
0,2588,SearchIndexer.,0x86824908,0x6b8,Event,0x1f0003,-
